,accuracy,loss,validation_accuracy,validation_loss
0,0.5910364389419556,1.1053361892700195,0.8125,0.4368240535259247
1,0.7072829008102417,0.786608099937439,0.8011363744735718,0.3513738811016083
2,0.7226890921592712,0.7144700884819031,0.8238636255264282,0.35346749424934387
3,0.743697464466095,0.6520012021064758,0.8522727489471436,0.2896120250225067
4,0.7577030658721924,0.5784125924110413,0.8636363744735718,0.29149264097213745
5,0.7829131484031677,0.5508496165275574,0.8863636255264282,0.22502493858337402
6,0.8025209903717041,0.5354710221290588,0.9090909361839294,0.2158679962158203
7,0.7955182194709778,0.48593148589134216,0.9375,0.20022930204868317
8,0.8277310729026794,0.4203803241252899,0.8806818127632141,0.2308456003665924
9,0.8305321931838989,0.43953168392181396,0.9318181872367859,0.20310252904891968
10,0.8347339034080505,0.4124760627746582,0.8977272510528564,0.19938784837722778
11,0.8361344337463379,0.3665691614151001,0.8920454382896423,0.22220565378665924
12,0.8333333134651184,0.401052862405777,0.9261363744735718,0.1849299818277359
13,0.8417366743087769,0.41167953610420227,0.9204545617103577,0.15628953278064728
14,0.8725489974021912,0.3169440031051636,0.9431818127632141,0.1598566174507141
15,0.8725489974021912,0.33039653301239014,0.9147727489471436,0.17907626926898956
16,0.8613445162773132,0.364202618598938,0.9090909361839294,0.21480955183506012
17,0.8613445162773132,0.3324512541294098,0.9034090638160706,0.19926665723323822
18,0.8697478771209717,0.3241458535194397,0.8977272510528564,0.21316762268543243
19,0.848739504814148,0.3340948522090912,0.9147727489471436,0.20140399038791656
20,0.8795518279075623,0.31304097175598145,0.9204545617103577,0.21447210013866425
21,0.8893557190895081,0.2880464792251587,0.8863636255264282,0.20219102501869202
22,0.8767507076263428,0.2784518003463745,0.8920454382896423,0.19638751447200775
23,0.8739495873451233,0.3112074136734009,0.8977272510528564,0.19929718971252441
24,0.8725489974021912,0.31032246351242065,0.8977272510528564,0.18405550718307495
