,accuracy,loss,validation_accuracy,validation_loss
0,0.6106442809104919,0.6865443587303162,0.7670454382896423,0.6669886112213135
1,0.7338935732841492,0.5280387997627258,0.7670454382896423,0.6548985838890076
2,0.7464985847473145,0.4974474608898163,0.7670454382896423,0.6487839221954346
3,0.767507016658783,0.4798698127269745,0.7670454382896423,0.6312385201454163
4,0.7983193397521973,0.44192710518836975,0.7670454382896423,0.6136143207550049
5,0.7871148586273193,0.43211790919303894,0.8011363744735718,0.5904518365859985
6,0.7857142686843872,0.4284377694129944,0.8465909361839294,0.5411738157272339
7,0.8053221106529236,0.41113054752349854,0.9147727489471436,0.4736555814743042
8,0.8095238208770752,0.39006543159484863,0.9318181872367859,0.402764230966568
9,0.848739504814148,0.3747398853302002,0.9318181872367859,0.3435123562812805
10,0.8221288323402405,0.38325223326683044,0.9602272510528564,0.302681565284729
11,0.848739504814148,0.3357393145561218,0.9545454382896423,0.2759512662887573
12,0.843137264251709,0.35138049721717834,0.9375,0.2513955235481262
13,0.8417366743087769,0.33999744057655334,0.9431818127632141,0.2441202998161316
14,0.8711484670639038,0.33489078283309937,0.9602272510528564,0.22887340188026428
15,0.8571428656578064,0.3188587725162506,0.9375,0.24026870727539062
16,0.8501400351524353,0.32383808493614197,0.9659090638160706,0.21433162689208984
17,0.8599439859390259,0.3126395344734192,0.9602272510528564,0.2077719271183014
18,0.8669467568397522,0.3095424771308899,0.9488636255264282,0.19639120995998383
19,0.8641456365585327,0.3039381504058838,0.9431818127632141,0.2092006802558899
20,0.8851540684700012,0.2795468866825104,0.9659090638160706,0.19120821356773376
21,0.8767507076263428,0.27525249123573303,0.9772727489471436,0.17045491933822632
22,0.8627451062202454,0.2881980836391449,0.9602272510528564,0.18069082498550415
23,0.8823529481887817,0.26433220505714417,0.9431818127632141,0.18841591477394104
24,0.8725489974021912,0.27461743354797363,0.9318181872367859,0.1912793219089508
